,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,num_flank,box_flank,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
55,0.282,100,0,22.0,600,600,1,-1.0,1,1,10,herzog_01_-1_01_01.png,0.8119026961336693,5.0,0.008818828062450344,0.005108173881985691,0,0,herzog,0,2019_Jun_16_1308,model
56,0.282,100,0,22.0,600,600,1,-1.0,2,0,10,herzog_01_-1_02_00.png,0.8119026961336693,5.0,0.008818828062450344,0.005108173881985691,0,0,herzog,0,2019_Jun_16_1308,model
57,0.282,100,0,22.0,600,600,1,-1.0,2,1,10,herzog_01_-1_02_01.png,0.8119026961336693,5.0,0.008818828062450344,0.005108173881985691,0,0,herzog,0,2019_Jun_16_1308,model
58,0.282,100,0,22.0,600,600,1,-1.0,3,0,10,herzog_01_-1_03_00.png,0.8119026961336693,5.0,0.008818828062450344,0.005108173881985691,0,0,herzog,0,2019_Jun_16_1308,model
59,0.282,100,0,22.0,600,600,1,-1.0,3,1,10,herzog_01_-1_03_01.png,0.8119026961336693,5.0,0.008818828062450344,0.005108173881985691,0,0,herzog,0,2019_Jun_16_1308,model
60,0.282,100,0,22.0,600,600,1,0.1,1,0,10,herzog_01_0.1_01_00.png,0.8119026961336693,5.0,0.015273470099780508,0.00719639188324326,0,0,herzog,0,2019_Jun_16_1308,model
61,0.282,100,0,22.0,600,600,1,0.1,1,1,10,herzog_01_0.1_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.01312008212067137,0,0,herzog,0,2019_Jun_16_1308,model
62,0.282,100,0,22.0,600,600,1,0.1,2,0,10,herzog_01_0.1_02_00.png,0.8119026961336693,5.0,0.019716431074638927,0.01034363883557651,0,0,herzog,0,2019_Jun_16_1308,model
63,0.282,100,0,22.0,600,600,1,0.1,2,1,10,herzog_01_0.1_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018007667308753066,0,0,herzog,0,2019_Jun_16_1308,model
64,0.282,100,0,22.0,600,600,1,0.1,3,0,10,herzog_01_0.1_03_00.png,0.8119026961336693,5.0,0.023326980616688434,0.012733598255932895,0,0,herzog,0,2019_Jun_16_1308,model
65,0.282,100,0,22.0,600,600,1,0.1,3,1,10,herzog_01_0.1_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.0218262736593102,0,0,herzog,0,2019_Jun_16_1308,model
66,0.282,100,0,22.0,600,600,1,0.15,1,0,10,herzog_01_0.15_01_00.png,0.8119026961336693,5.0,0.015273470099780506,0.008078973102496593,0,0,herzog,0,2019_Jun_16_1308,model
67,0.282,100,0,22.0,600,600,1,0.15,1,1,10,herzog_01_0.15_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.013703579181088232,0,0,herzog,0,2019_Jun_16_1308,model
68,0.282,100,0,22.0,600,600,1,0.15,2,0,10,herzog_01_0.15_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.010974361957094175,0,0,herzog,0,2019_Jun_16_1308,model
69,0.282,100,0,22.0,600,600,1,0.15,2,1,10,herzog_01_0.15_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018436057809908434,0,0,herzog,0,2019_Jun_16_1308,model
70,0.282,100,0,22.0,600,600,1,0.15,3,0,10,herzog_01_0.15_03_00.png,0.8119026961336693,5.0,0.023326980616688434,0.013251048280395474,0,0,herzog,0,2019_Jun_16_1308,model
71,0.282,100,0,22.0,600,600,1,0.15,3,1,10,herzog_01_0.15_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022181036213386376,0,0,herzog,0,2019_Jun_16_1308,model
