,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
67,0.282,100,0,22.0,600,600,90,0.92,135,1,10,bex_90_0.92_135_01.png,0.8119026961336693,5.0,0.06665964407495202,0.02000069070088533,0,0,bex,0,2019_Jun_16_1308,model
68,0.282,100,0,22.0,600,600,90,0.92,225,0,10,bex_90_0.92_225_00.png,0.8119026961336693,5.0,0.069268516087854,0.0205002994100985,0,0,bex,0,2019_Jun_16_1308,model
69,0.282,100,0,22.0,600,600,90,0.92,225,1,10,bex_90_0.92_225_01.png,0.8119026961336693,5.0,0.06669449076983322,0.020009232860360864,0,0,bex,0,2019_Jun_16_1308,model
70,0.282,100,0,22.0,600,600,90,0.92,315,0,10,bex_90_0.92_315_00.png,0.8119026961336693,5.0,0.069268516087854,0.0205002994100985,0,0,bex,0,2019_Jun_16_1308,model
71,0.282,100,0,22.0,600,600,90,0.92,315,1,10,bex_90_0.92_315_01.png,0.8119026961336693,5.0,0.06671936926274404,0.02001873101980613,0,0,bex,0,2019_Jun_16_1308,model
72,0.282,100,0,22.0,600,600,90,1.62,45,0,10,bex_90_1.62_45_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
73,0.282,100,0,22.0,600,600,90,1.62,45,1,10,bex_90_1.62_45_01.png,0.8119026961336693,5.0,0.07642633979487456,0.022799183339181996,0,0,bex,0,2019_Jun_16_1308,model
74,0.282,100,0,22.0,600,600,90,1.62,135,0,10,bex_90_1.62_135_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
75,0.282,100,0,22.0,600,600,90,1.62,135,1,10,bex_90_1.62_135_01.png,0.8119026961336693,5.0,0.07641346824127841,0.022794538580669644,0,0,bex,0,2019_Jun_16_1308,model
76,0.282,100,0,22.0,600,600,90,1.62,225,0,10,bex_90_1.62_225_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
77,0.282,100,0,22.0,600,600,90,1.62,225,1,10,bex_90_1.62_225_01.png,0.8119026961336693,5.0,0.07642633979487456,0.02279918333918199,0,0,bex,0,2019_Jun_16_1308,model
78,0.282,100,0,22.0,600,600,90,1.62,315,0,10,bex_90_1.62_315_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
