,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,num_flank,flank_distance,target_orientation,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
68,0.282,100,0,22.0,600,600,1,0.9,0,225,0,10,pachai_01_0.9_00_225_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
69,0.282,100,0,22.0,600,600,1,0.9,0,225,1,10,pachai_01_0.9_00_225_01.png,0.8119026961336693,5.0,0.0664051664455953,0.01996406930974043,0,0,pachai,0,2019_Jun_16_1310,model
70,0.282,100,0,22.0,600,600,1,0.9,0,315,0,10,pachai_01_0.9_00_315_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
71,0.282,100,0,22.0,600,600,1,0.9,0,315,1,10,pachai_01_0.9_00_315_01.png,0.8119026961336693,5.0,0.0664351594729182,0.01997285022323066,0,0,pachai,0,2019_Jun_16_1310,model
72,0.282,100,0,22.0,600,600,1,0.9,90,45,0,10,pachai_01_0.9_90_45_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
73,0.282,100,0,22.0,600,600,1,0.9,90,45,1,10,pachai_01_0.9_90_45_01.png,0.8119026961336693,5.0,0.06632511365164585,0.019937230038096405,0,0,pachai,0,2019_Jun_16_1310,model
74,0.282,100,0,22.0,600,600,1,0.9,90,135,0,10,pachai_01_0.9_90_135_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
75,0.282,100,0,22.0,600,600,1,0.9,90,135,1,10,pachai_01_0.9_90_135_01.png,0.8119026961336693,5.0,0.06629506702693634,0.01992895184522348,0,0,pachai,0,2019_Jun_16_1310,model
76,0.282,100,0,22.0,600,600,1,0.9,90,225,0,10,pachai_01_0.9_90_225_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
77,0.282,100,0,22.0,600,600,1,0.9,90,225,1,10,pachai_01_0.9_90_225_01.png,0.8119026961336693,5.0,0.06632511365164584,0.019936720080303182,0,0,pachai,0,2019_Jun_16_1310,model
78,0.282,100,0,22.0,600,600,1,0.9,90,315,0,10,pachai_01_0.9_90_315_00.png,0.8119026961336693,5.0,0.06886596621949673,0.020420579055107503,0,0,pachai,0,2019_Jun_16_1310,model
79,0.282,100,0,22.0,600,600,1,0.9,90,315,1,10,pachai_01_0.9_90_315_01.png,0.8119026961336693,5.0,0.06635514563242094,0.019945045944298124,0,0,pachai,0,2019_Jun_16_1310,model
80,0.282,100,0,22.0,600,600,1,0.9,180,45,0,10,pachai_01_0.9_180_45_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
81,0.282,100,0,22.0,600,600,1,0.9,180,45,1,10,pachai_01_0.9_180_45_01.png,0.8119026961336693,5.0,0.06632511365164587,0.019936720080303186,0,0,pachai,0,2019_Jun_16_1310,model
82,0.282,100,0,22.0,600,600,1,0.9,180,135,0,10,pachai_01_0.9_180_135_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
